sentiment_score,sentiment_label,Comments,Likes,Retweets,price_trend_label
0.3612,1,12300,23200,381000,0
0.0,0,6946,42300,310600,0
0.0,0,2580,12300,164300,0
0.0,0,3116,2551,107000,0
0.6808,1,645,2042,31000,0
0.8221,1,77,102,1390,0
-0.6705,-1,208,389,3739,0
0.0,0,50,68,1199,0
0.4019,1,128,224,3836,0
0.1007,1,128,199,2808,0
-0.6486,-1,66,90,1899,0
0.0,0,201,382,9632,0
0.0,0,102,104,2284,0
-0.5983,-1,345,421,2889,0
0.7096,1,124,183,4331,0
0.3612,1,105,148,2999,0
0.8442,1,47,113,1469,0
0.0,0,104,192,12300,0
0.4019,1,91,75,1624,0
0.2732,1,3063,28700,221900,0
0.8122,1,3848,5315,144800,0
0.9468,1,1483,3807,43500,0
0.7506,1,1585,4007,68200,0
-0.1779,-1,502,2808,44200,0
0.3182,1,69,98,5314,0
0.0,0,261,271,6600,0
0.0,0,60,77,3423,0
0.6588,1,151,127,3060,0
0.0987,1,513,335,4933,0
-0.5255,-1,410,737,4364,0
0.8622,1,262,328,10500,0
0.9412,1,153,233,4558,0
0.2411,1,55,69,1457,0
0.0,0,90,95,1361,0
-0.2732,-1,89,169,3821,0
0.8238,1,112,88,1974,0
0.7088,1,169,175,1276,0
0.0,0,4407,122900,697400,0
0.0,0,1176,20900,171900,0
-0.4303,-1,1902,10100,112900,0
-0.1779,-1,104,640,19200,0
0.3182,1,84,82,1948,0
0.8718,1,184,751,6447,0
-0.34,-1,45,98,1692,0
0.0,0,809,1453,7516,0
0.0,0,87,103,1763,0
0.0,0,48,106,2405,0
0.0,0,48,48,1429,0
0.296,1,94,119,1923,0
0.5719,1,77,87,1086,0
0.872,1,100,83,1204,0
0.0,0,4040,59100,419400,0
0.0,0,709,5629,62500,0
0.0,0,883,4556,87900,0
0.0,0,48,111,1527,0
0.4019,1,33,32,524,0
0.4404,1,1151,18900,171400,0
-0.6888,-1,1792,15800,121500,0
0.0,0,2527,3102,67200,0
0.1027,1,1677,3525,60300,0
0.0258,0,600,476,15100,0
0.34,1,326,994,35100,0
0.3612,1,177,227,3837,0
0.0,0,362,324,11800,0
0.7351,1,183,561,10900,0
0.6249,1,59,92,5406,0
0.3802,1,62,70,2612,0
0.4926,1,204,80,1405,0
0.4019,1,116,92,1801,0
0.3834,1,151,89,1822,0
0.0,0,116,141,2342,0
0.0,0,28,44,697,0
0.6395,1,81,64,1287,0
0.2056,1,64,65,573,0
0.7867,1,40,41,744,0
0.0,0,68,96,4609,0
0.0,0,6801,40900,336200,-1
0.6249,1,899,13400,133000,0
0.4728,1,4954,19000,222300,1
0.6808,1,981,6520,83300,0
0.0,0,129,108,1874,0
-0.636,-1,155,307,11400,0
0.0,0,60,119,1392,0
0.4588,1,61,37,673,0
0.3182,1,17,40,1007,0
-0.4767,-1,40,46,706,0
0.0,0,62,83,1834,0
0.3182,1,23,35,1404,0
-0.5719,-1,81,46,1031,0
0.6239,1,24,58,834,0
-0.152,-1,79,100,2303,0
0.4019,1,75,106,1520,0
0.431,1,55,67,1721,0
